gene_stable_id,gene_name
ENSDARG00000009525,tial1
ENSDARG00000009550,foxi3b
ENSDARG00000009594,nr1d2b
ENSDARG00000009822,her4.4
ENSDARG00000009823,pou3f1
ENSDARG00000009922,dmbx1a
ENSDARG00000009950,edf1
ENSDARG00000010192,pax3a
ENSDARG00000010207,smad3b
ENSDARG00000010630,hoxb6a
ENSDARG00000010732,xrcc4
ENSDARG00000010794,tfeb
ENSDARG00000011072,ddx11
ENSDARG00000011235,otx2b
ENSDARG00000011273,tlx2
ENSDARG00000011298,atf7a
ENSDARG00000011376,dnase1l4.2
ENSDARG00000011404,fen1
ENSDARG00000011570,pou6f1
ENSDARG00000011579,hoxb10a
ENSDARG00000011582,sox5
ENSDARG00000011696,esrrgb
ENSDARG00000011703,clocka
ENSDARG00000011818,batf
ENSDARG00000011879,foxn1
ENSDARG00000011890,cry4
ENSDARG00000011956,dlx4a
ENSDARG00000011989,crx
ENSDARG00000012078,meis1b
ENSDARG00000012325,zgc:110269
ENSDARG00000012539,dnase1
ENSDARG00000012672,gtf2e2
ENSDARG00000012699,bbx
ENSDARG00000012776,smarca1
ENSDARG00000012788,foxa3
ENSDARG00000013057,hoxb5a
ENSDARG00000013125,dlx1a
ENSDARG00000013207,zeb1b
ENSDARG00000013224,phc2b
ENSDARG00000013251,hsf4
ENSDARG00000013441,hey2
ENSDARG00000013477,gata1a
ENSDARG00000013528,mcm9
ENSDARG00000013533,hoxb4a
ENSDARG00000013575,rfx2
ENSDARG00000013615,pbx3b
ENSDARG00000013704,cers2a
ENSDARG00000013789,sim1b
ENSDARG00000013837,spo11
ENSDARG00000013933,XRCC2
ENSDARG00000014018,lhx1a
ENSDARG00000014161,ercc4
ENSDARG00000014181,foxp1b
ENSDARG00000014201,otpa
ENSDARG00000014218,mecp2
ENSDARG00000014274,rfc2
ENSDARG00000014321,en1a
ENSDARG00000014430,rabgef1
ENSDARG00000014480,nr6a1b
ENSDARG00000014550,rfx3
ENSDARG00000014626,dlx3b
ENSDARG00000014722,her1
ENSDARG00000014994,tbp
ENSDARG00000015070,pola2
ENSDARG00000015072,dmrt2a
ENSDARG00000015123,dnase1l4.1
ENSDARG00000015355,fosl1a
ENSDARG00000015536,sox6
ENSDARG00000015554,zic2a
ENSDARG00000015566,dnmt3ab
ENSDARG00000015567,zic1
ENSDARG00000015674,msx3
ENSDARG00000015851,pnn
ENSDARG00000015879,pax8
ENSDARG00000015890,mafa
ENSDARG00000015902,stat6
ENSDARG00000015906,mxtx2
ENSDARG00000015966,yaf2
ENSDARG00000015968,rabgef1l
ENSDARG00000016022,zic5
ENSDARG00000016302,upf1
ENSDARG00000016304,tfdp1b
ENSDARG00000016363,her8a
ENSDARG00000016454,esr2a
ENSDARG00000016457,irf9
ENSDARG00000016536,npas2
ENSDARG00000016788,zeb1a
ENSDARG00000016854,neurod2
ENSDARG00000016858,smad7
ENSDARG00000016871,smarce1
ENSDARG00000016994,ssrp1b
ENSDARG00000017007,nr4a2a
ENSDARG00000017107,nr2e1
ENSDARG00000017121,mafba
ENSDARG00000017174,dlx2b
ENSDARG00000017220,otud7b
ENSDARG00000017400,klf1
ENSDARG00000017562,banp
ENSDARG00000017615,tlx3b
ENSDARG00000017780,rorcb
ENSDARG00000017821,gata5
ENSDARG00000017917,her7
ENSDARG00000017928,xrcc3
ENSDARG00000017953,tp73
ENSDARG00000018004,nkx2.5
ENSDARG00000018022,msh2
ENSDARG00000018025,tbx2a
ENSDARG00000018109,mafga
ENSDARG00000018296,rev1
ENSDARG00000018303,etv4
ENSDARG00000018321,lbx1a
ENSDARG00000018553,ifih1
ENSDARG00000018611,lbx1b
ENSDARG00000018619,cers4b
ENSDARG00000018688,elk3
ENSDARG00000018765,pknox1.1
ENSDARG00000018898,zfand5a
ENSDARG00000018907,kat6a
ENSDARG00000018914,hnrnpk
ENSDARG00000019013,barhl1b
ENSDARG00000019293,tfdp1a
ENSDARG00000019335,hes6
ENSDARG00000019392,stat5a
ENSDARG00000019457,tfe3b
ENSDARG00000019459,elf2a
ENSDARG00000019498,cry5
ENSDARG00000019507,mcm5
ENSDARG00000019529,parp1
ENSDARG00000019658,pou2f2a
ENSDARG00000019717,pbx2
ENSDARG00000019774,zhx3
ENSDARG00000019810,nfe2l3
ENSDARG00000019835,nkx2.1
ENSDARG00000020046,ahr1a
ENSDARG00000020079,neil3
ENSDARG00000020133,jdp2b
ENSDARG00000020354,lmx1a
ENSDARG00000020417,emx3
ENSDARG00000020504,h3f3b.1
ENSDARG00000020606,nfe2
ENSDARG00000020759,elf1
ENSDARG00000020872,nfat5a
ENSDARG00000021032,foxd3
ENSDARG00000021055,isl1l
ENSDARG00000021112,c1d
ENSDARG00000021163,thrb
ENSDARG00000021201,noto
ENSDARG00000021232,nkx2.7
ENSDARG00000021336,pax4
ENSDARG00000021405,chd3
ENSDARG00000021494,hnf4a
ENSDARG00000021833,ahr2
ENSDARG00000021855,arnt
ENSDARG00000021916,vax1
ENSDARG00000021938,smad9
ENSDARG00000021959,zgc:101100
ENSDARG00000021985,ercc2
ENSDARG00000022295,hnf1bb
ENSDARG00000022569,nkx6.1
ENSDARG00000022712,stat3
ENSDARG00000022978,tmpob
ENSDARG00000023031,hoxa2b
ENSDARG00000023058,foxo3a
ENSDARG00000023217,crema
ENSDARG00000023316,sim1a
ENSDARG00000023362,nr5a1b
ENSDARG00000023678,ercc5
ENSDARG00000023861,dnase1l1l
ENSDARG00000024204,mcm3
ENSDARG00000024306,zbed4
ENSDARG00000024488,top2a
ENSDARG00000024598,homezb
ENSDARG00000024619,foxo6b
ENSDARG00000025032,nr3c1
ENSDARG00000025131,lbx2
ENSDARG00000025187,six6a
ENSDARG00000025641,gli2a
ENSDARG00000025699,mbd1b
ENSDARG00000025718,cxxc1b
ENSDARG00000025789,chd4b
ENSDARG00000025891,shox
ENSDARG00000025899,pnx
ENSDARG00000026072,pdcd5
ENSDARG00000026183,polr2eb
ENSDARG00000026395,rfx4
ENSDARG00000026400,rad51d
ENSDARG00000026453,zgc:66474
ENSDARG00000026473,six1b
ENSDARG00000026513,hoxb6b
ENSDARG00000026599,en2a
ENSDARG00000027082,hmbox1a
ENSDARG00000027143,aptx
ENSDARG00000027199,smad1
ENSDARG00000027586,top3b
ENSDARG00000027658,irf10
ENSDARG00000027689,pold1
ENSDARG00000027777,tnfaip3
ENSDARG00000027933,glis1b
ENSDARG00000027938,rad18
ENSDARG00000028148,pax2a
ENSDARG00000028213,ttn.2
ENSDARG00000028335,hmga1a
ENSDARG00000028348,pax3b
ENSDARG00000028431,adnp2b
ENSDARG00000028517,hbp1
ENSDARG00000028731,stat4
ENSDARG00000028957,maff
ENSDARG00000029179,foxd1
ENSDARG00000029263,hoxb3a
ENSDARG00000029406,h2ax
ENSDARG00000029764,mef2ca
ENSDARG00000029766,nr1i2
ENSDARG00000029783,dedd
ENSDARG00000030058,tbx4
ENSDARG00000030125,sox7
ENSDARG00000030155,ssbp3b
ENSDARG00000030297,sox13
ENSDARG00000030350,mnx2b
ENSDARG00000030479,hmgb1b
ENSDARG00000030560,helz
ENSDARG00000030583,foxk2
ENSDARG00000030616,nfe2l1a
ENSDARG00000030703,otx2a
ENSDARG00000030756,dnmt1
ENSDARG00000030896,foxq1a
ENSDARG00000030999,mybl1
ENSDARG00000031138,irx3b
